participant_id,community_group,endpoint_id,lock,erp_component,window_start_ms,window_end_ms,electrodes,compatibility,stimulus_factor,stimulus_level,semantic_cell_id,retained_trial_count,mean_amplitude_uv
ERP033,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,17,-3.8264323119174284
ERP033,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-4.4561456638057866
ERP033,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,19,-3.3760761523845906
ERP033,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,18,-4.0387773032288043
ERP034,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,18,-0.036315421759178457
ERP034,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,18,-1.7355595615082384
ERP034,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,16,-1.5397647711961628
ERP034,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,17,0.39343740174722963
ERP035,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,15,-1.2583081984883269
ERP035,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,15,-1.475713911345456
ERP035,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,18,-1.9927059516190964
ERP035,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,14,-3.3482123969623849
ERP036,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-0.83143853528862366
ERP036,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-1.9706266714479863
ERP036,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-0.033268768206431681
ERP036,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,14,1.0134766758284635
ERP037,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-2.6719288955460083
ERP037,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-4.5999634538730323
ERP037,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-2.9302783052270067
ERP037,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-2.9826414694381551
ERP038,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,19,-5.5360724914868209
ERP038,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-6.0797141550903762
ERP038,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-3.943502805782936
ERP038,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-5.833773114740052
ERP039,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,17,-2.3531873452216456
ERP039,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,18,-5.0835167397410048
ERP039,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,16,-4.7034211218449231
ERP039,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-5.0229508264807485
ERP040,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-6.1119505701521035
ERP040,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-5.7752777708542897
ERP040,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-6.8815799040305317
ERP040,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-4.6402172722329258
ERP041,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,19,-2.4972171618694663
ERP041,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,19,-3.684682272392787
ERP041,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,17,-4.5188023687792453
ERP041,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-4.9138053925000031
ERP042,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,0.95961280363666668
ERP042,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,19,-0.58482265644833298
ERP042,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,3.3151789432122207
ERP042,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,5.5130791968472623
ERP043,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,15,3.8120477685696441
ERP043,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,10,1.4369453776802568
ERP043,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,4,3.7122062933847024
ERP043,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,1,4.7155440711560006
ERP044,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-2.3725062963542425
ERP044,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-4.0613757518696456
ERP044,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,18,-0.19397691960005142
ERP044,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,19,-1.5739586427694729
ERP045,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,18,0.14885662848692988
ERP045,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,14,1.4536410509205171
ERP045,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,8,0.059066889850789756
ERP045,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,7,0.43990703057508401
ERP046,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,18,1.2154102225471983
ERP046,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,16,-0.74269288506170961
ERP046,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,1,1.7983996391158477
ERP046,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,2,-1.15694551327823
ERP047,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-1.8061097090533555
ERP047,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-0.6401080984288432
ERP047,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-0.99940802773913995
ERP047,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-0.22222316938364362
ERP048,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-1.2367219368700288
ERP048,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-2.9993961934203539
ERP048,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,18,-3.7276916703545773
ERP048,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,16,-1.7933211998748968
ERP049,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-1.2406055054695255
ERP049,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-5.0591993086803404
ERP049,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,19,-3.5299033637869743
ERP049,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,18,-4.0478841519456719
